n_neighbors,p,weights,MAE_mean,MAE_std,fold1,fold2,fold3,fold4,mean_fit_time
18,1,distance,65.52475817296205,1.4362897143446038,67.83745096114524,64.94695607967535,65.38682859675808,63.927797054269554,0.023837804794311523
17,1,distance,65.56446568665841,1.3992385845960251,67.80668960629335,65.07084307538165,65.40830144380604,63.9720286211526,0.023337364196777344
24,1,distance,65.65729859300919,1.4274503663377818,67.8439446859018,64.89698050135632,65.8858743849578,64.00239479982079,0.03382688760757446
23,1,distance,65.66226066425475,1.451733915409743,67.91634964806116,64.89980109596235,65.8262219035837,64.0066700094118,0.022650301456451416
23,1,distance,65.66226066425475,1.451733915409743,67.91634964806116,64.89980109596235,65.8262219035837,64.0066700094118,0.02363830804824829
11,1,distance,65.66270532916553,1.624353579707168,68.32715120518536,64.83218620439045,65.4817517022246,64.00973220486173,0.021196365356445312
21,1,uniform,66.49786860686196,1.189527694290777,68.3491774234902,65.99637123332248,66.55442208643537,65.09150368419978,0.022104620933532715
46,1,distance,66.60223188243316,1.157706748973144,68.04660047776915,66.17595949808597,67.22785794475239,64.95850960912513,0.02327430248260498
27,1,uniform,66.68785496550282,1.1328236009008597,68.26957364804844,66.16940715430694,67.10418119742161,65.20825786223429,0.03930544853210449
6,1,distance,66.8401041219927,2.4993285495573736,71.07072528437631,65.27789395791274,66.24336324919037,64.7684339964914,0.030964314937591553
53,1,uniform,67.79499488886123,0.8241996330837885,68.64112824278023,67.4605726565522,68.47682694198622,66.60145171412627,0.02351701259613037
59,1,uniform,67.96081397552604,0.8854180743180039,68.83367746832921,67.6334590479132,68.71714155125578,66.6589778346059,0.02153080701828003
32,2,distance,68.0686105879116,1.166525608881903,69.45522708022189,67.91615926291145,68.62105770703607,66.281998301477,0.02871227264404297
38,2,distance,68.16165289022913,1.001333044274575,69.11843578175007,68.07294395500452,68.89178782565925,66.56344399850272,0.02950507402420044
13,2,uniform,68.30535213285893,1.0673974164000344,69.65115828909221,68.39426966882775,68.51239074200136,66.6635898315144,0.023261606693267822
44,2,distance,68.31461810813283,0.961861592065971,69.07678645113191,68.20129777631702,69.19361982473715,66.78676838034525,0.02197045087814331
41,2,uniform,68.85176452548103,0.8550703744579895,69.42680705084584,68.7860288127118,69.70613987816868,67.48808236019781,0.025509238243103027
49,2,uniform,69.05359787744536,0.832908553273041,69.26315780115277,68.95047988471015,70.16543764172336,67.83531618219511,0.02562844753265381
5,2,uniform,70.39445771330882,2.245046024485926,73.74548839941262,69.63047589977221,70.68229990167158,67.5195666523789,0.026132643222808838
4,2,distance,70.84011672281997,2.7610356648887215,75.1544088408305,69.88729077399395,70.79072520264332,67.52804207381209,0.026043832302093506
