batch_size,dropout,hidden,learning_rate,MAE_mean,MAE_std,fold1,fold2,fold3,fold4,mean_fit_time
128,0.2,"(256, 128, 64)",0.0015930522616241021,66.15617428658436,1.2283480137422786,67.61229475672457,66.20872100855102,66.57960744197999,64.22407393908185,12.879492819309235
64,0.1,"(128, 64)",0.0002310201887845295,66.19532802017234,1.2384734465965568,66.46870994904715,67.67157325442233,66.4046340436457,64.23639483357417,26.13628214597702
128,0.3,"(512, 512, 100)",0.0002465844721448739,66.48642217311894,0.8519435887056916,67.80444025844251,66.3739254082543,66.3455941329551,65.42172889282385,45.37428081035614
32,0.1,"(128, 64, 32)",0.0003034247005811288,66.56858716285772,0.6896806365703214,66.51609596411528,67.08347278588367,67.21142390008286,65.46335600134911,31.240854263305664
64,0.1,"(512, 512, 100)",0.00026054534945804014,66.59165966579606,1.2928067495988547,67.5085539170768,67.79410325702501,66.56954437297868,64.49443711610378,28.721010744571686
64,0.1,"(128, 64)",0.0004066563313514797,66.60142640801246,0.9109318919225853,66.3491051476507,68.05542903855307,66.45850434075788,65.54266710508816,20.43377321958542
128,0.1,"(64, 32)",0.00032927591344236165,66.63220375189883,1.064500687883647,67.07471275421456,66.98017563915906,67.63398123616057,64.83994537806113,19.56224751472473
128,0.3,"(128, 64, 32)",0.0015304852121831463,66.66790350973417,0.745299838771943,67.52734856105212,66.84291170746057,66.82801246339992,65.47334130702406,14.334936678409576
128,0.3,"(256, 128, 64)",0.00023273922280628724,66.75401082633682,0.993291356595707,67.36612661087402,67.12740613193381,67.47508909074301,65.04742147179647,31.218138992786407
32,0.3,"(64, 32)",0.0003823475224675188,66.83229041094035,1.5570816347735892,67.41987076930468,68.04367472171306,67.70300203510534,64.16261411763831,40.94398760795593
128,0.2,"(128, 64)",0.00012397420340784152,66.87376970845244,0.9349731659229835,66.46002504610351,67.53654323880625,67.94408542917375,65.55442511972623,25.63781613111496
32,0.0,"(128, 64)",0.00020511104188433984,67.06077448405864,0.8488059414323964,67.45336000978952,67.68163516242304,67.51028308081463,65.59781968320739,19.510467052459717
128,0.3,"(256, 128, 64)",0.00463863097239728,67.35354792432517,1.6001723878397849,68.84368174494941,68.02272857618745,67.8929313978047,64.65484997835907,16.54955166578293
64,0.0,"(128, 64)",0.0035503048581283078,67.93589720233528,1.4103405380518956,68.23525668021271,69.18217861850886,68.7629057119664,65.56324779865317,6.607017278671265
32,0.0,"(128, 64, 32)",0.0016722697006183683,68.0355466411479,0.7960273203143251,67.49899294991663,69.32947928230442,67.27891868016665,68.03479565220394,10.727075695991516
128,0.0,"(256, 128)",0.0022941144328644,68.11390642569543,1.46945297067932,69.00368399109095,69.32285812337611,68.51049607232468,65.61858751599001,5.517581760883331
64,0.1,"(512, 512, 100)",0.007133747470888434,68.4504674549216,2.0058447781620834,71.8187390888231,68.00526163916794,67.3617845086892,66.61608458300614,32.96628671884537
32,0.2,"(128, 64)",0.007902619549708232,68.78042416733355,1.2844891414293105,70.21045308813393,68.5975774912354,69.52495256109997,66.7887135288649,17.067543506622314
128,0.1,"(256, 128, 64)",0.008706020878304856,68.83158413349474,1.515370389858252,70.78741244529243,69.82970060712601,67.33231941035598,67.3769040712045,11.9734206199646
128,0.1,"(512, 512, 100)",0.0037183641805732083,69.04462433357175,1.312617503024236,70.68299581387858,69.93560473905315,68.10777545292046,67.45212132843481,30.547742307186127
