max_depth,max_features,min_samples_leaf,n_estimators,MAE_mean,MAE_std,fold1,fold2,fold3,fold4,mean_fit_time
20,sqrt,1,148,62.88669483916224,1.9156567888140015,65.35332793344327,61.61355586765076,64.05935275643418,60.52054279912077,5.091733872890472
20,0.5,2,317,63.03139775838996,2.259452153702888,65.95832149198395,61.8578530923572,64.268855503864,60.04056094535468,18.457158863544464
16,0.7,2,369,63.3345597109801,2.322633788401224,66.40363159825374,62.16476534370145,64.50473959890306,60.265102303062136,26.977874755859375
16,0.7,2,359,63.33893663468998,2.327034455965889,66.42657420522981,62.18658563774967,64.4839068701505,60.25867982562992,25.99828714132309
16,0.7,2,291,63.3467064771136,2.327279566009056,66.45729061986289,62.152609079705506,64.47734530400558,60.299580904880415,20.84117603302002
12,0.5,2,287,63.49253531290727,2.0263590997957195,65.91007918469981,62.35152516529313,64.91136994343057,60.797166958205565,12.94795835018158
16,1.0,5,171,63.6398512053256,2.130381052191866,66.40238903253042,62.512275827073985,64.81165391295019,60.833086048747774,14.273542761802673
20,1.0,2,314,63.70990410712022,2.4545741448185963,66.9519639681535,62.3447664183469,65.00345617702837,60.53942986495209,34.54165279865265
12,0.7,1,149,64.07362669590444,2.161568940903103,66.87472529920962,62.837075973328844,65.30262163793948,61.28008387313982,9.526713073253632
16,1.0,1,121,64.48055846539037,2.357057716965555,67.68659164236314,62.77939733826006,65.71784182632733,61.738403054610984,15.080920219421387
12,sqrt,10,230,64.91779073271086,1.4310963068034865,66.05514100339764,63.913043182147675,66.56617178319921,63.13680696209889,4.521918058395386
20,0.7,20,379,65.1480767953816,1.6002682766468308,66.74963294538567,64.28117789803129,66.60517654387344,62.95631979423598,16.328323662281036
12,0.7,20,357,65.18839125235962,1.580179233897992,66.73431172372518,64.33577865047845,66.66254886626156,63.02092576897332,15.230470716953278
20,0.5,20,266,65.22934440038674,1.478124777859645,66.44144241766438,64.47827340099388,66.81540035480974,63.18226142807895,8.241048574447632
12,0.5,20,199,65.2737725246236,1.5169492379794574,66.54690790852948,64.41229884075689,66.90598365875974,63.22989969044829,6.828632056713104
16,1.0,20,307,65.2971407831308,1.623741061289106,66.92065427474182,64.30707250594054,66.81474127527984,63.146095076560954,18.94613754749298
8,1.0,10,287,65.81008612800669,1.511797273441575,66.58843272006199,64.56277311755015,67.89801829384588,64.19112038056873,15.160484611988068
8,0.7,1,152,65.88863560851755,1.479518680448067,66.9521147411534,64.80808566685656,67.69399882266342,64.10034320339679,6.556961715221405
8,sqrt,10,363,66.7290823332423,1.3597197407315835,66.85224965329559,65.43051392895708,68.89841449327645,65.73515125744012,5.336163640022278
8,sqrt,1,113,66.74325573076227,1.3815434559514597,67.09519539601608,65.59995698730387,68.85511287469285,65.42275766503629,2.02912575006485
