learning_rate,max_depth,min_samples_leaf,n_estimators,subsample,MAE_mean,MAE_std,fold1,fold2,fold3,fold4,mean_fit_time
0.030710573677773714,6,20,206,0.7,63.74845150842188,1.568974639020347,65.35075179143118,62.846195912369524,65.16198566136596,61.63487266852087,9.482176005840302
0.05143828405076928,6,20,501,0.85,63.75345908629001,1.9225080688350642,65.78932403460016,63.29783761182306,65.10614244606738,60.8205322526694,28.104669749736786
0.03958189513876493,6,50,459,1.0,63.83770223603162,1.936653914946987,65.6569057803016,63.21814290111584,65.53892175697037,60.93683850573866,28.945243000984192
0.07766184280392888,5,20,527,0.7,64.03635360163285,2.0180230091224525,66.587665560946,63.89012934042054,64.6867627734806,60.98085673168428,21.117436051368713
0.024291857109906573,6,1,444,1.0,64.6571772759588,1.7538898214336134,66.88032559393523,64.0123158605527,65.55634489800995,62.17972275133728,26.157014429569244
0.06252287916406217,3,50,575,1.0,64.67563262154735,1.84356251478192,65.81097744196585,63.090122801147224,67.10193267873186,62.69949756434446,19.356428265571594
0.07277150634170934,3,5,489,0.85,64.7602211092535,1.4054352930956737,65.80208085229086,63.76924120439108,66.44243838312754,63.02712399720453,15.285231292247772
0.018891200276189388,5,1,260,0.85,64.79865704059101,1.3823495262792624,65.49497141388134,63.6384205932047,66.7195447612915,63.34169139398648,12.607058942317963
0.1213421183393142,4,5,180,0.85,64.82842092782388,1.631592578342532,66.1443944423856,64.16374657476328,66.53534407409678,62.47019862004985,6.88071995973587
0.012151617026673379,5,1,415,0.85,64.85079370401255,1.392599954994642,65.55009262511496,63.83815328093095,66.76726380189643,63.247665108107846,20.022393345832825
0.038471898492485085,3,5,583,0.85,64.9312971909355,1.577804433992624,65.4876779461805,63.960883928877294,67.2144750981365,63.06215179054768,17.511163592338562
0.048164145309070844,5,1,148,1.0,65.00504742792178,1.4027909745108817,65.80293317535536,64.09716884019126,66.84950964324506,63.27057805289543,8.127553284168243
0.05977505142360254,3,20,314,1.0,65.2392036800434,1.5518558513859861,65.92908323414609,63.794322238206455,67.45849671702919,63.77491253079188,10.798753559589386
0.08834921226320053,5,1,289,0.7,65.2895947389657,2.068574219139283,67.6416945910248,65.10059340904452,66.35378595327404,62.06230500251945,11.860560894012451
0.03920673972242137,4,50,154,0.7,65.46233983975242,1.3690900411535327,65.78483470680041,64.08580014901436,67.56150417561699,64.41722032757792,4.9497069120407104
0.18022959559673618,5,50,592,0.7,66.22447815975883,2.6245201802237434,69.73641614093029,65.8612712939882,66.9006173538999,62.3996078502169,23.894510865211487
0.010636066512540286,3,50,591,0.85,66.68234151523997,1.4450518631039573,66.49950646065378,65.11864435946114,69.03021514704496,66.08100009380003,18.370880365371704
0.11265466963346032,2,5,152,0.85,67.05208774305365,1.6494307703408553,67.08828928749348,65.3732947302171,69.70556490478525,66.0412020497188,3.352644920349121
0.03203913722293047,3,20,152,0.85,67.27153797188379,1.5802409873818135,66.83530616900217,65.59456316521792,69.86977718332467,66.7865053699904,4.770168602466583
0.011492999300221412,4,20,120,0.7,72.51307080845062,2.0029471881208996,71.28877337543891,70.72998707306276,75.86699478275281,72.16652800254799,4.596344172954559
