C,epsilon,gamma,MAE_mean,MAE_std,fold1,fold2,fold3,fold4,mean_fit_time
2.5002240473339543,0.10185157936989994,0.03,64.26556965911404,1.242675101276557,65.7868313251801,63.47770542048724,65.11810484848569,62.679637042303106,7.862042665481567
17.403662685854034,0.13173024340654602,0.01,64.6919911290598,1.1828978788379625,65.8574376145291,63.77346629437376,65.86555594601239,63.27150466132395,10.556876599788666
6.407866261851015,0.11584341543601268,0.03,64.78924862317254,1.512891207900948,66.57509957012172,64.65278554474797,65.4790237841488,62.45008559367166,9.976673781871796
0.5859674932405377,0.08857607260253157,0.03,64.82126091905106,1.1331678333040383,65.54955570497184,63.87966640151634,66.28741720914145,63.568404360574625,7.244361519813538
6.224326690252463,0.30648807581431375,0.01,65.0434565918325,0.985103571064611,65.71665943949719,64.20039582891836,66.29099829735338,63.96577280156106,5.909120678901672
0.3009400602664795,0.2924961573535959,scale,65.11900591678628,1.364718551960924,66.2085690883417,65.0837404630615,66.28088984445586,62.90282427128606,4.863925576210022
0.3398549646731317,0.13569222369248563,0.1,65.13687481522373,1.3603697817541907,66.48506441435812,65.1114004592598,66.01001578066233,62.941018606614705,6.31129002571106
3.345674213696821,0.16962131652291723,0.01,65.16786045062088,1.0577068778807723,65.46051582109594,64.09414612450728,66.76905899800542,64.34772085887487,6.681563377380371
0.7274917088027808,0.47634286707675977,0.03,65.38099253236076,0.8199001779016462,65.42202620405405,65.263623666289,66.574705988226,64.26361427087396,3.3480619192123413
0.22853255256339208,0.047880133840735736,0.1,65.82556161606584,1.3822570265662326,67.27391497273743,65.52258655016442,66.80159305541243,63.704151885949074,7.669893801212311
2.5579488960947363,0.08695705311298008,0.1,66.08338100720258,1.946111530513463,68.31500813430245,65.6762444930827,67.2130830044922,63.1291883969329,10.733941614627838
0.19090338932926945,0.25768491685340966,0.03,66.15518996635856,0.9791347456914578,66.03497294363994,65.4100189770844,67.79009844145428,65.38566950325563,5.283832609653473
0.10381492158742987,0.031069964019879562,0.03,66.9740312837323,1.1870067874851764,66.61114248299023,66.01755922056985,68.99735698118214,66.27006645018704,7.475971221923828
0.26425260575499165,0.1660362766205781,0.01,67.08161877973872,1.3534069170780683,65.88372196861789,66.14898916694467,69.3200219975193,66.97374198587302,6.2496426701545715
0.2505631890506232,0.20770909163515555,0.01,67.16627237885368,1.41729510125268,65.89318539200846,66.19399726855151,69.50303883964074,67.07486801521398,6.148211717605591
7.246804518258447,0.1662146092032179,scale,67.59177662844832,2.196000753934341,70.22689046934964,67.43956715643978,68.49977524766183,64.20087364034201,14.236354410648346
0.11152328125494342,0.48555672903775726,0.1,68.48594023392184,1.4334150013396265,69.81104752065526,68.01721371118823,69.77186863183766,66.34363107200622,3.330180287361145
0.10728106434030567,0.4722568427287293,0.01,68.79184693737399,1.7435387917999579,66.81709710161465,67.95548260743298,71.54079272821512,68.85401531223319,3.653895676136017
18.299691185623892,0.24404618875903034,scale,71.15364758837708,2.471471302874469,74.22700659945475,71.38825955351393,71.67460660862302,67.32471759191661,22.560727953910828
14.442352339645906,0.02037380760368688,0.1,73.10267400711982,2.84396198211662,76.80785329456862,73.32660344077048,73.46782278306564,68.80841651007457,35.992828369140625
