model,screening MAE,tuned MAE,improvement,MAE std,fold 1,fold 2,fold 3,fold 4,fit seconds
Random forest,64.60270012306029,62.88669483916224,1.716005283898049,1.9156567888140013,65.35332793344327,61.61355586765076,64.05935275643418,60.52054279912077,5.091733872890472
Gradient boosting,66.43971333539642,63.74845150842188,2.6912618269745394,1.568974639020347,65.35075179143118,62.84619591236952,65.16198566136596,61.63487266852087,9.482176005840302
Support vector regression,64.51270053380206,64.26556965911404,0.24713087468802541,1.242675101276557,65.7868313251801,63.47770542048724,65.11810484848569,62.67963704230311,7.862042665481567
K-nearest neighbours,70.39445771330882,65.52475817296205,4.869699540346772,1.4362897143446038,67.83745096114524,64.94695607967535,65.38682859675808,63.927797054269554,0.0238378047943115
Neural network (FNN),75.55992719627321,66.15617428658436,9.403752909688848,1.2283480137422786,67.61229475672457,66.20872100855102,66.57960744197999,64.22407393908185,12.879492819309236
Decision tree,77.24838839951005,70.67645987707346,6.571928522436593,2.458937884492662,74.55070657408703,70.05741760646738,70.3706600977084,67.72705523003101,0.1252824664115905
